sequence_id	D300418.lib1	D300419.lib1	D300420.lib1	D300421.lib1	D300422.lib1	D300423.lib1	D300424.lib1	D300425.lib1	D300426.lib1	D300427.lib1	D300428.lib1	D300429.lib1	D300430.lib1	D300431.lib1	D300432.lib1	D300433.lib1	D300434.lib1	D300435.lib1	D300436.lib1	D300437.lib1	D300438.lib1	D300439.lib1	D300440.lib1	D300441.lib1	D300442.lib1	D300443.lib1	D300444.lib1	D300445.lib1	D300446.lib1	D300447.lib1	D300448.lib1	D300449.lib1	D300450.lib1	D300451.lib1	D300452.lib1	D300453.lib1	D300454.lib1	D300455.lib1	D300456.lib1	D300457.lib1	D300458.lib1	D300459.lib1	D300460.lib1	D300461.lib1	D300462.lib1	D300463.lib1	D300464.lib1	D300465.lib1	D300466.lib1	D300467.lib1	D300468.lib1	D300469.lib1	D300470.lib1	D300471.lib1	D300472.lib1	D300473.lib1	D300474.lib1	D300475.lib1	D300476.lib1	D300477.lib1	D300478.lib1	D300479.lib1	D300480.lib1	D300481.lib1	D300482.lib1	D300483.lib1	D300484.lib1	D300485.lib1	D300486.lib1	D300487.lib1	D300488.lib1	D300489.lib1	D300490.lib1	D300491.lib1	D300492.lib1	D300493.lib1	D300494.lib1	D300495.lib1	D300496.lib1	D300497.lib1	D300498.lib1	D300499.lib1	D300500.lib1	D300501.lib1	D300502.lib1	D300503.lib1	D300504.lib1	D300505.lib1	D300506.lib1	D300507.lib1	D300508.lib1	D300509.lib1	D300510.lib1	D300511.lib1	D300512.lib1	D300513.lib1	D300514.lib1	D300515.lib1	D300516.lib1	D300517.lib1	D300518.lib1	D300519.lib1	D300520.lib1	D300521.lib1	D300522.lib1	D300523.lib1	D300524.lib1	D300525.lib1	D300526.lib1	D300527.lib1	D300528.lib1	D300529.lib1	D300530.lib1	D300531.lib1
D300495:bin_000003	2141195	1542	66854	98600	1709499	1663	2504	2120	1685377	2138743	1712127	42405	3040	30133	1621	60904	70371	1357	63646	1703207	86286	2141112	1670880	1376	72179	78951	1334	1527	1318	1683367	45453	2169	1777	102679	73757	1750579	98676	85150	2102	1272	2153125	76334	82918	1683293	29571	28788	135407	1738766	101195	2142495	98920	145675	72342	24820	48162	2115574	105804	2125490	67570	1928	2158452	2340	1655043	18390	1066	95540	2158254	1681138	2106190	92045	108631	86090	2133334	79908	1746	103967	1593	2159956	2134264	209818	102795	101618	49331	1239	56543	74414	2139150	78228	2126657	78008	58076	1716834	109462	88054	2152551	60486	103322	130313	101164	1696275	100088	2142535	109099	103246	37929	1750517	99699	95477	104895	2139699	2134391	963028	600	316
D300495:bin_000005	1800711	190	582	10193	24241	632	9408	30405	9998	1801002	10271	10259	224	378	9341	186	324	22566	329	1524392	9933	252	9739	8452	371	36866	197	307	222	9889	10208	301	9681	9911	336	9925	9905	291	9675	8995	1763971	9922	630	9646	323	482	149315	9677	12781	787966	9961	6468	219	9715	10394	474	11340	377	10563	232	1809976	370	23363	10017	9491	12690	1792819	24008	189	9993	13517	15728	155559	11361	226	8984	9414	1810853	1810382	8992	9937	19598	10617	9648	10052	8246	332	4041	322	249	10442	16025	9861	15287	1718943	339	12592	8293	12371	15482	10003	562	8999	33203	9491	18516	7643	9923	13169	188	176	12046	0	0
D300495:bin_000010	1625616	59135	58998	59031	29463	55228	46031	20432	57168	1351176	91792	57743	58381	58008	56104	46049	60090	47890	59658	239859	56316	51263	57236	55760	60314	140816	55361	58686	60357	56556	27151	60075	40778	57458	58410	57939	56964	59761	56724	55404	1686372	58729	60690	57308	58469	57429	50925	58033	64874	938580	51643	44789	60232	55877	25639	62869	165267	65253	64304	60355	1684094	60308	83807	51966	56334	62005	1537508	95537	63217	58856	62239	138300	98773	157480	58425	27306	55667	1731606	38008	56576	46601	55068	134197	55518	39349	52933	52228	49908	62593	58482	137146	54248	58768	49096	1644214	51473	116920	51049	59346	54794	35281	63191	51285	228355	59381	82870	47195	51573	68098	62543	45067	69459	0	0
D300497:bin_000007	87169	27349	54452	80951	73269	31151	35571	45413	58633	76540	67549	54036	45762	38408	26510	48872	54682	42062	52299	82448	67755	81563	51125	41619	42781	79675	22332	38810	26499	49302	64882	28220	42593	53045	60725	57826	51149	52600	37851	29103	84652	52860	59939	59623	49521	43759	2709994	58985	83371	82770	52230	1361181	50255	51155	54034	52491	85775	78210	52637	34971	84521	42424	78283	40940	38787	83404	82092	56690	62511	55083	67155	80261	79527	78108	18856	2010190	39358	84366	83253	2747818	55614	2737935	56197	23936	62082	2744000	77160	62687	56889	53735	72102	95513	84672	82957	84869	58617	79400	2735602	88409	173492	63244	74377	77311	83903	51031	70596	99801	54539	83307	68373	41572	82447	0	0
D300498:bin_000001	2182239	2191120	2744542	2749311	347735	129702	160332	260463	203413	1562212	2739831	2225097	66551	2190794	50086	2203293	2174981	220124	2193458	259955	2240422	2214736	156543	372101	2193978	2255964	46201	2189847	2313629	246185	2143365	2207263	223535	2749417	2230046	171321	2749089	2203172	171565	129143	2182261	2406483	2194250	169457	2116853	2245836	1800232	155703	2749199	1523110	2749494	2263910	2199243	2213356	1618624	2222062	2117255	2192333	264310	80222	2160985	2192281	1057792	177580	110839	2749309	2116366	179506	2179037	1389271	1780005	2314163	2315778	2273617	2181984	2214704	169759	1595961	2219645	903662	2749708	2213901	1613269	110960	2263930	2029183	2126896	2157753	2182121	2212714	2284330	2748972	2748761	2275679	2231027	2195842	1139347	1752584	2749281	2326783	2040960	2221729	2196620	2322727	2196184	170667	2203378	2749436	2312358	2184685	1361973	2364970	0	0
D300499:bin_000015	201862	28655	83060	193891	169593	179749	149503	163228	178175	156951	3414211	189451	72932	125658	142069	147498	177128	169905	157014	163861	216889	205625	203574	200254	196761	174940	122179	41881	32438	196578	199329	33565	180584	171431	114120	174693	163592	176953	158179	135219	265854	146481	167233	183798	144411	138746	4058757	200402	3242082	225812	58187	4048279	162053	172235	181473	186848	174587	214807	105372	148854	202693	45763	227145	145194	135016	183923	174804	170992	136991	136348	112461	225261	193844	201095	33861	4044235	197057	204602	196814	4053591	122156	4064332	178942	147486	189066	4058939	182285	4033007	188946	152929	168467	2432643	180890	184488	202504	150986	153044	4055051	221993	1690982	196456	188782	4051812	197163	179988	183660	4045423	129862	166714	176376	135822	3420358	91	0
D300501:bin_000003	2687679	81846	115564	2970603	3102404	115288	121563	2124194	146455	2108548	3084412	3172588	103794	96072	120631	127884	3412537	133720	130063	3126210	2874080	494991	128086	3488511	123501	2718993	126300	86032	122988	2768411	2613045	3485421	133432	2262796	102679	3372102	112802	2953971	2702738	121903	2068354	117121	3395605	3389646	140774	119723	3475984	3485453	2202921	544607	109953	3088446	128450	108037	786658	126153	2474599	134231	121165	80499	3070357	81756	1418977	133022	129098	2896547	2681427	3391166	124445	117256	331055	3372534	987886	2603254	55101	3470104	127537	3009751	2896064	2723379	118143	2987164	2192214	3509294	3099680	3182833	961540	2870687	124178	1632705	1745064	3177516	2340339	763250	3050737	3480938	970779	2988981	3225898	1849645	3245830	130242	3491724	2335526	2329366	3438547	3294511	236206	1984834	126046	113720	1954063	150	300
D300501:bin_000005	354989	14151	30105	49802	2112658	43206	1890042	2077943	2124008	75847	1930741	1941646	21711	2004200	2125669	1954949	1961619	2121472	1968111	2016894	2014903	49270	2115793	2128656	1957559	2031453	2122513	17645	17291	2124356	2025704	17020	2098787	47884	2022571	2121108	43960	1969696	2122050	2059057	528479	37098	1956643	2125756	34572	2035588	1954663	2120462	49147	54441	34402	1971192	1964343	1950250	1496140	45404	2028952	53716	41434	37930	432040	19761	1974033	2120405	2126317	48867	677057	2121396	43622	38086	2038130	2038295	147246	2013955	7616	1966848	2117927	60166	502320	1974490	45651	1978323	1819276	2131253	2017138	1983676	47129	1956025	45493	1960081	1985595	1994374	47827	2034173	420797	1943720	2019923	1936328	53495	1878369	2018486	48564	1980512	2034218	1978860	2117400	1968105	44157	2026438	42859	38165	1810379	0	0
D300503:bin_000003	27761	6751	20720	23869	29673	7233	11508	25144	25618	26684	31777	21286	19844	15920	11718	20021	19441	23732	18475	33840	28701	19597	20369	14369	20805	32320	9191	9423	9159	23359	30084	7610	14653	22658	19408	23121	18688	19386	11027	9413	30363	17634	21222	25780	18924	21776	2096332	21115	25816	31405	21522	2083462	18363	27096	23554	19879	37944	18492	22908	4122	29450	8924	42435	15985	10180	22937	31086	30469	13980	17626	38287	33647	30243	26274	4551	2082022	11029	27287	28579	2096646	21526	2096560	25634	10541	29040	2096942	19497	2079521	15716	20401	30274	40699	22878	27129	24682	19981	31949	2092875	29573	40411	31323	17174	2085197	32262	25609	35283	2079400	24686	35970	15755	8389	28318	0	0
D300505:bin_000008	223237	148718	137471	199820	2257223	122237	100506	119049	156118	138870	166823	273476	85797	133585	174895	101957	504957	129473	618811	119846	237373	211373	135299	142612	571349	257230	140930	126799	113128	130396	259146	134541	140689	222562	144580	281021	162803	2171223	136647	132444	180301	245420	2797710	157760	97612	159031	1356100	401098	252349	183502	112995	2886310	148948	129184	151484	211399	297602	186415	173772	133624	174643	164387	210650	186868	150088	206801	202083	141256	152271	136879	232797	289780	196320	274486	283789	2882520	156893	1023773	213733	2826993	68723	2882081	207435	122703	238360	2803345	186992	2887151	182414	1101290	203582	197645	226348	233242	457007	322521	266571	658207	262047	203974	242552	261122	2881307	301296	190822	130054	2887503	146372	305269	171953	192651	193136	0	117
